F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,class
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
1,1,1,0,0,0,0,0,0,0,0,0,0,0,C1_c1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,C1_c2
0,0,0,0,0,1,1,0,0,0,0,0,0,0,C1_c3
0,0,0,0,0,0,0,1,1,0,0,0,0,0,C2_c1
0,0,0,0,0,0,0,0,0,1,1,1,0,0,C2_c2
0,0,0,0,0,0,0,0,0,0,0,0,1,1,C2_c3
